4146083	-3926	0.983	-0.015	0.025
49779	4145742	-3905	0.250	-0.383	0.956
49800	4145742	-3905	0.238	-0.337	0.943
49817	4145742	-3904	0.232	-0.401	0.946
49839	4145949	-3904	0.275	-0.339	0.934
49859	4145810	-3906	0.214	-0.355	0.934
49878	4145810	-3906	0.232	-0.362	0.936
49899	4145810	-3907	0.250	-0.288	0.964
49920	4145809	-3907	0.266	-0.288	0.959
49941	4145961	-3904	0.233	-0.347	0.883
49963	4145961	-3904	0.215	-0.354	0.856
49979	4145961	-3903	0.205	-0.345	0.900
49990	4145977	-3903	0.206	-0.327	0.882
50017	4145977	-3906	0.290	-0.315	0.878
50043	4145995	-3906	0.105	-0.277	0.827
50062	4145948	-3904	0.107	-0.219	0.779
50081	4145948	-3904	0.148	-0.294	0.927
50103	4145881	-3903	0.150	-0.398	0.838
50124	4145881	-3903	0.143	-0.396	0.820
50145	4145920	-3902	0.110	-0.364	0.847
50164	4145920	-3902	0.045	-0.374	0.823
50181	4145920	-3905	0.083	-0.407	0.870
50194	4145803	-3905	0.073	-0.435	0.906
50212	4145803	-3905	0.213	-0.580	0.937
50235	4145795	-3903	0.116	-0.461	0.914
50260	4145795	-3903	0.079	-0.427	0.870
50275	4145722	-3903	0.070	-0.425	0.883
50288	4145722	-3903	0.064	-0.457	0.903
50299	4145722	-3903	0.009	-0.474	0.904
50329	4145820	-3903	0.016	-0.440	0.872
50354	4145777	-3902	-0.027	-0.411	0.786
50376	4145777	-3902	-0.008	-0.381	0.933
50397	4145945	-3901	0.083	-0.442	0.808
50418	4145945	-3901	0.042	-0.467	0.940
50440	4145828	-3904	0.059	-0.518	0.938
50462	4145828	-3904	0.085	-0.482	0.853
50476	4145841	-3902	0.069	-0.615	0.943
50489	4145841	-3902	0.066	-0.598	0.972
50512	4145937	-3901	-0.021	-0.502	0.948
50533	4145937	-3901	-0.029	-0.396	0.896
50554	4145895	-3902	-0.033	-0.445	0.893
50570	4145895	-3902	-0.025	-0.505	1.056
50583	4145895	-3902	0.016	-0.505	0.972
50594	4145984	-3904	-0.042	-0.504	0.867
50613	4145984	-3904	-0.054	-0.421	0.958
50641	4145768	-3902	0.164	-0.333	0.991
50663	4145768	-3902	-0.054	-0.391	0.797
50684	4145804	-3903	-0.105	-0.426	0.870
50705	4145804	-3903	-0.068	-0.371	0.884
50727	4146039	-3902	-0.060	-0.461	0.906
50748	4146039	-3902	0.007	-0.465	0.868
50768	4145872	-3904	-0.043	-0.451	0.912
50792	4145872	-3902	-0.086	-0.369	0.877
50813	4145880	-3902	-0.013	-0.277	0.850
50829	4145880	-3902	-0.007	-0.366	0.881
50837	4145937	-3902	0.011	-0.454	0.934
50860	4145937	-3902	-0.040	-0.508	0.886
50875	4146007	-3902	0.014	-0.340	0.836
50885	4146007	-3902	-0.025	-0.432	0.825
50898	4146007	-3902	-0.033	-0.479	0.945
50927	4145857	-3901	-0.027	-0.470	0.919
50951	4145857	-3901	-0.061	-0.501	0.908
50973	4145768	-3901	-0.042	-0.488	0.911
50994	4145768	-3903	-0.033	-0.497	0.935
51015	4145784	-3903	-0.051	-0.487	0.885
51035	4145784	-3901	-0.067	-0.425	0.890
51059	4145936	-3901	0.039	-0.466	0.880
51080	4145940	-3902	-0.037	-0.455	0.920
51101	4145940	-3902	-0.027	-0.398	0.902
51123	4145922	-3898	0.056	-0.359	0.854
51144	4145922	-3898	0.028	-0.400	0.919
51165	4146015	-3898	-0.007	-0.449	0.945
51181	4146015	-3898	-0.023	-0.461	0.936
51192	4146015	-3898	-0.010	-0.461	0.916
51215	4145915	-3899	-0.061	-0.446	0.862
51243	4145915	-3903	-0.059	-0.454	0.866
51257	4145915	-3903	-0.039	-0.410	0.900
51279	4145915	-3899	-0.056	-0.444	0.883
51300	4145836	-3899	-0.052	-0.398	0.937
51321	4145868	-3901	-0.082	-0.440	0.881
51343	4145868	-3901	-0.035	-0.423	0.896
51364	4145954	-3899	-0.021	-0.412	0.926
51385	4145954	-3899	-0.014	-0.418	0.879
51405	4146071	-3900	-0.003	-0.424	0.910
51425	4146071	-3900	0.009	-0.436	0.919
51447	4145924	-3901	-0.006	-0.410	0.903
51458	4145924	-3901	0.007	-0.419	0.922
51538	4146114	-3898	-0.007	-0.433	0.929
51559	4146114	-3898	-0.029	-0.430	0.912
51581	4146055	-3899	-0.040	-0.399	0.897
51602	4146055	-3899	-0.021	-0.395	0.919
51623	4145869	-3899	-0.017	-0.382	0.941
51644	4145869	-3899	-0.038	-0.371	0.891
51665	4146064	-3899	-0.029	-0.410	0.875
51687	4145948	-3897	-0.044	-0.396	0.869
51709	4145948	-3897	-0.028	-0.392	0.894
51730	4146003	-3897	-0.009	-0.392	0.919
51758	4146003	-3897	-0.031	-0.357	0.891
51773	4145834	-3898	-0.020	-0.400	0.909
51783	4145834	-3898	-0.021	-0.378	0.896
51793	4145834	-3898	0.000	-0.405	0.919
51823	4145732	-3899	-0.016	-0.447	0.889
51850	4145917	-3900	-0.033	-0.381	0.879
51872	4145917	-3900	-0.031	-0.405	0.908
51893	4145867	-3898	-0.006	-0.438	0.900
51914	4145867	-3898	-0.025	-0.439	0.920
51937	4145903	-3899	-0.024	-0.369	0.922
51960	4145903	-3899	-0.021	-0.406	0.924
51984	4145842	-3897	0.000	-0.425	0.923
52005	4145842	-3897	-0.010	-0.401	0.894
52026	4145797	-3898	-0.013	-0.406	0.928
52048	4145797	-3898	-0.004	-0.411	0.954
52068	4145849	-3898	-0.005	-0.403	0.963
52081	4145849	-3898	-0.012	-0.429	0.942
52093	4145849	-3898	-0.025	-0.406	0.927
52104	4145579	-3898	-0.007	-0.449	0.925
52108	4145904	-3896	-0.016	-0.398	0.949
52158	4145904	-3896	-0.008	-0.409	0.923
52203	4145859	-3897	-0.047	-0.419	0.882
52225	4145938	-3896	-0.064	-0.364	0.925
52247	4145938	-3896	-0.047	-0.359	0.886
52268	4145922	-3897	-0.021	-0.463	0.908
52287	4145922	-3897	0.012	-0.428	0.955
52308	4146123	-3896	-0.027	-0.424	0.906
52329	4146123	-3896	-0.003	-0.387	0.910
52350	4145740	-3896	-0.004	-0.348	0.924
52368	4145740	-3896	-0.007	-0.457	0.888
52382	4145774	-3896	-0.002	-0.425	0.914
52390	4145774	-3896	-0.012	-0.383	0.923
52432	4145831	-3896	-0.018	-0.396	0.923
52454	4145831	-3897	-0.016	-0.417	0.905
52475	4146037	-3897	-0.020	-0.442	0.910
52496	4146037	-3897	-0.031	-0.425	0.905
52518	4145873	-3897	-0.045	-0.384	0.919
52539	4145873	-3893	-0.035	-0.371	0.909
52560	4145868	-3893	0.001	-0.373	0.927
52582	4146033	-3895	-0.002	-0.404	0.923
52603	4146033	-3895	-0.010	-0.392	0.933
52624	4145860	-3895	-0.022	-0.355	0.893
52647	4145860	-3895	0.018	-0.400	0.939
52667	4145931	-3895	-0.003	-0.317	0.920
52680	4145931	-3895	-0.021	-0.394	0.938
52692	4145931	-3895	-0.009	-0.407	0.942
52713	4145850	-3894	-0.010	-0.389	0.915
52738	4145850	-3894	-0.015	-0.377	0.916
52748	4145656	-3895	-0.019	-0.422	0.907
52765	4145656	-3895	-0.026	-0.408	0.937
52798	4145847	-3893	-0.001	-0.416	0.926
52821	4145847	-3895	-0.013	-0.402	0.888
52842	4145737	-3895	-0.054	-0.349	0.908
52863	4145737	-3895	-0.041	-0.384	0.915
52884	4145748	-3895	-0.035	-0.337	0.895
52904	4145748	-3894	-0.011	-0.364	0.899
52928	4145887	-3894	-0.023	-0.352	0.937
52949	4145710	-3893	-0.054	-0.398	0.960
52968	4145710	-3893	-0.035	-0.389	0.916
52982	4145710	-3893	-0.010	-0.371	0.931
52993	4145813	-3894	-0.002	-0.403	0.919
53017	4145813	-3894	-0.006	-0.372	0.903
53034	4145665	-3892	-0.025	-0.356	0.934
53054	4145665	-3892	-0.033	-0.361	0.938
53070	4145819	-3893	-0.028	-0.365	0.928
53083	4145819	-3893	-0.073	-0.337	0.925
53104	4145819	-3893	-0.062	-0.376	0.931
53128	4145835	-3893	-0.028	-0.378	0.971
53149	4145894	-3892	-0.001	-0.407	0.946
53170	4145894	-3892	-0.019	-0.404	0.893
53194	4145843	-3893	-0.001	-0.396	0.935
53213	4145843	-3893	-0.002	-0.343	0.950
53234	4145890	-3892	-0.005	-0.341	0.921
53257	4145890	-3892	-0.035	-0.369	0.906
53274	4145791	-3893	-0.022	-0.324	0.897
53287	4145791	-3893	-0.013	-0.353	0.934
53298	4145791	-3893	-0.006	-0.352	0.960
53306	4145791	-3893	-0.015	-0.355	0.944
53339	4145703	-3893	-0.019	-0.388	0.945
53357	4145818	-3893	0.001	-0.368	0.936
53377	4145818	-3893	-0.013	-0.389	0.929
53389	4145818	-3893	-0.031	-0.365	0.963
53407	4145665	-3893	-0.019	-0.372	0.968
53432	4145665	-3892	-0.028	-0.366	0.954
53454	4145653	-3892	0.001	-0.408	0.933
53469	4145653	-3891	-0.005	-0.415	0.946
53482	4145914	-3891	0.007	-0.408	0.923
53508	4145914	-3891	-0.039	-0.257	0.926
53531	4145623	-3891	0.063	-0.328	0.888
53552	4145623	-3891	0.051	-0.254	0.927
53570	4145814	-3891	0.039	-0.231	0.940
53582	4145814	-3891	-0.108	-0.074	0.979
53593	4145814	-3891	-0.122	-0.133	0.898
53600	4145800	-3891	-0.181	-0.213	0.916
53641	4145863	-3891	0.104	-0.320	0.803
53663	4145863	-3891	0.062	-0.371	0.832
53684	4145870	-3890	0.008	-0.187	0.980
53705	4145870	-3890	-0.045	-0.093	0.794
53732	4145947	-3889	0.115	-0.344	0.854
53753	4145947	-3889	0.078	-0.224	0.907
